No SSL train,No SSL test,seq train,seq test,add train,add test,interp train,interp test,No SSL No mask train,No SSL No mask test,add  No mask train,add  No mask test
3994.623038760636,1239.295043710562,6054.274309072569,3912.1274549278846,4021.9064271675525,1337.024213303786,3983.313452810835,1165.8906431227465,3755.210024373845,703.4303097768931,3745.63301300522,776.569247999925
1102.697345337387,581.133614149827,3761.3905245995347,3379.5883197490984,1178.8259009191233,580.5798050865759,1150.3423949367316,572.14226952186,515.1648511576097,368.3705563471867,555.973749489008,331.82986598088195
787.9211453223413,445.85014770507814,3505.780019077035,3329.7310730919467,790.1100915184318,430.54198169414815,806.1665538935698,475.36118788499095,296.04938716149144,249.1032851351224,325.45649096466775,272.95731259859525
670.4380477846131,340.76719285231377,3460.9930405727655,3318.1142390324517,681.5016129368034,390.5607079373873,686.997848599456,351.9845344543457,226.62257264011586,203.15840024507966,259.3514319087184,240.54247560941258
619.8739352204079,336.57659032968377,3405.634171691421,3263.1588125375592,619.4309024012366,339.0184429814265,628.453830624366,304.2775624671349,191.06609805055365,166.0484740095872,231.737278824444,207.95838692298304
573.1847287200218,304.73217511690575,3380.4290261438655,3201.63526968149,588.1019302663876,265.873279501108,605.722122198297,295.3146635319637,172.75488050815673,156.7757587843675,204.92523966574853,205.14001817556527
547.668343956526,267.05543843195983,3348.9672649058257,3205.088996769832,563.2516038525013,271.09525260338415,556.8455095631208,257.5199940255972,156.00723711279937,147.8792500246488,180.34897301400355,170.37715965270996
539.7271498569222,268.9438854980469,3347.556027387279,3235.7133302659254,536.5639941903048,260.6257581740159,549.9117020303889,350.1733069904034,141.264256694705,136.2527732819777,172.5073335070943,166.85205713712253
501.05576372959814,225.46162707402155,3320.987884947311,3195.443483698918,498.71965438487916,285.7189397958609,523.5888125042583,250.1490564082219,134.6384694025498,137.72961897629958,166.52736912956533,146.07798790564902
480.2175974054853,216.94980657137353,3330.798945605847,3148.659329176683,492.1990210008251,248.34237623948314,495.5214337164117,220.65509334857643,125.59780293176341,124.95734501765324,150.92357744837915,147.8489279409555
459.76154987423917,218.32186944814825,3304.6521267203398,3172.00953519381,462.41176084769785,231.8093335723877,477.793417896596,197.79108681311973,119.268691342376,118.53850120250998,144.62591764243072,151.29955271794245
444.92861012303547,194.20174503032976,3312.3306261639254,3159.4941077599165,469.8124822158222,225.29088843712438,465.81464677559313,197.81695974496694,114.39954134179638,110.26667448190543,137.3917710267296,124.72738064986008
473.35362454791414,248.3793193230262,3313.469123875818,3142.778778357873,438.4481456431307,252.36863524216875,433.6420170747033,184.4628602834848,110.44672765510025,128.16695615328274,132.864555707828,127.27335609142597
433.7737919563471,193.40416114220255,3266.8187372252,3124.9762571364186,433.20533228142324,188.53819303072416,441.90832898043857,200.32937024043156,106.35825272013051,104.20526231912467,134.08562867586002,120.37900321960448
451.558826712675,207.24425731952374,3284.1674418131515,3125.0896328500603,417.73886441962657,185.32334749661956,415.05209557880727,173.45354580218975,101.29758822418923,99.87496954697829,121.85201438970344,123.65589486635648
424.47403505901957,183.6782105900691,3284.0606130673905,3118.521312161959,416.74799631695413,207.10145018357497,418.4077932786572,185.40280156649075,98.16939473336981,101.21803381699782,119.56962689466256,129.88469209230863
403.33534242792655,181.66154933636003,3284.492544437379,3172.768165940505,416.435605372939,198.99648492079513,446.4880753982899,234.97059188842778,97.57420055995615,100.43454727172852,125.4244283062543,156.99759696080133
409.10059361420855,159.17329151447,3281.626090967933,3157.0932649113583,401.8217344742412,178.59633064856897,422.4819297376529,178.5582981637808,93.29709164856015,89.01241312613855,118.06043964652126,115.14716762542726
387.9513746098954,185.9796923182561,3298.02798159104,3200.7712687800486,402.02154614648157,190.12550919165977,405.673664125546,158.07253815284142,88.04560328564904,87.12871623699482,111.39170937427255,114.46747716756968
407.48324611279395,187.9735642653245,3266.1332900882694,3174.5157942082324,387.36956588390257,168.6468002612774,386.2061955178432,196.15263462946967,92.7133532568466,94.5600134908236,105.3334674728009,104.10958845872146
